Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-0.166116580367088,-0.968074977397919,-0.187712758779526,0.810146450996399,0.460018962621689,0.363380402326584,-0.0451457686722279,-0.984717488288879,-0.168206259608269,0.997902989387512,-0.0621511973440647,0.0180774461477995,0.134786203503609,-0.968675315380096,-0.208568349480629,0.847600758075714,0.468850672245026,-0.2484992146492,0.0486089289188385,-0.984220802783966,-0.170137017965317,0.996670961380005,-0.0775789618492126,-0.0250703450292349
0,-0.155314639210701,-0.949905097484589,-0.271215200424194,0.78047776222229,0.526216387748718,0.337566167116165,-0.0459443479776382,-0.984660923480988,-0.16832110285759,0.997284829616547,-0.0693288892507553,0.0248273368924856,0.134481713175774,-0.960960268974304,-0.241805791854858,0.727709829807281,0.59467077255249,-0.34176766872406,0.0504751577973366,-0.984642267227173,-0.167128190398216,0.996227502822876,-0.0823888555169106,-0.0272555332630873
0,-0.199956387281418,-0.959845006465912,-0.196761637926102,0.851036667823792,0.421204149723053,0.313565999269485,-0.0428440943360329,-0.984068632125854,-0.172549441456795,0.997363865375519,-0.0712779089808464,0.013596111908555,0.208290442824364,-0.956031203269959,-0.206444531679153,0.899968683719635,0.356966763734818,-0.250262081623077,0.0525319874286652,-0.983233690261841,-0.174619227647781,0.995459020137787,-0.0899004638195038,-0.0312947630882263
0,-0.276977390050888,-0.90979266166687,-0.309129059314728,0.828130722045898,0.455284267663956,0.32697981595993,-0.0393978133797646,-0.983979403972626,-0.173874408006668,0.997510194778442,-0.0689559504389763,0.0147826410830021,0.162061125040054,-0.961601555347443,-0.22149184346199,0.776173055171967,0.616185128688812,-0.133683249354362,0.0508963279426098,-0.982928872108459,-0.176805973052979,0.995787799358368,-0.0877944082021713,-0.0264334362000227
0,-0.144667908549309,-0.958064258098602,-0.247354209423065,0.705314338207245,0.593046128749847,0.388365685939789,-0.042314313352108,-0.985317647457123,-0.165404841303825,0.997249126434326,-0.0713734477758408,0.0199995636940002,0.123539678752422,-0.951838195323944,-0.280610173940659,0.791056394577026,0.536444783210754,-0.294035494327545,0.0527674145996571,-0.985853612422943,-0.159085780382156,0.996482849121094,-0.0787242352962494,-0.0287139285355806
1,-0.299816697835922,-0.899524509906769,-0.317750751972198,-0.794654905796051,0.512049973011017,0.326080530881882,-0.11936429142952,-0.980211555957794,-0.157916352152824,0.992491245269775,-0.117104969918728,0.0353192165493965,0.274470776319504,-0.937123715877533,-0.215557098388672,-0.780006110668182,0.513784289360046,-0.357234001159668,0.06612229347229,-0.98176109790802,-0.178249791264534,0.989757657051086,-0.137529209256172,-0.0382808782160282
1,-0.327481627464294,-0.878613650798798,-0.347553968429565,-0.758358061313629,0.617475569248199,0.208847269415855,-0.121375180780888,-0.978920936584473,-0.164261430501938,0.991701364517212,-0.124149978160858,0.0333934351801872,0.247382938861847,-0.931735098361969,-0.265840739011765,-0.738428592681885,0.64037412405014,-0.211291775107384,0.0714693292975426,-0.979790270328522,-0.186823919415474,0.988531351089478,-0.146531537175179,-0.0365270152688026
1,-0.31533744931221,-0.871008515357971,-0.376704841852188,-0.676381707191467,0.696098804473877,0.24073688685894,-0.118329636752605,-0.979705631732941,-0.161786943674088,0.992104172706604,-0.122531041502953,0.0267496481537819,0.22089396417141,-0.936305224895477,-0.273017227649689,-0.64860337972641,0.733783900737762,-0.202175289392471,0.0738391578197479,-0.980430364608765,-0.182494312524796,0.988555192947388,-0.146293789148331,-0.0368324145674706
1,-0.0875802114605904,-0.89995402097702,-0.427097827196121,-0.474900126457214,0.80436784029007,0.357018351554871,-0.120983891189098,-0.979561388492584,-0.16069333255291,0.990980982780457,-0.128056600689888,0.0394726954400539,0.287722378969193,-0.826444089412689,-0.483948349952698,-0.329278081655502,0.825457155704498,-0.458471924066544,0.0732410550117493,-0.981598794460297,-0.17635090649128,0.989327788352966,-0.142369940876961,-0.0310063548386097
1,-0.382860004901886,-0.860273420810699,-0.336671680212021,-0.413504719734192,0.731552064418793,0.542075157165527,-0.115752145648003,-0.979520916938782,-0.164742678403854,0.992016494274139,-0.121539607644081,0.0336346179246902,0.251160770654678,-0.923314869403839,-0.290530353784561,-0.329013228416443,0.881973803043365,-0.337449997663498,0.0734445825219154,-0.980680704116821,-0.181304261088371,0.988532423973084,-0.14724637567997,-0.0334985144436359
